,verbatim_id,stakeholder,questions,responses,disease
11,9,nn,Describe your experience of being diagnosed or told your disease had progressed.,"I was younger, so it was harald to come to terms with losing my hair.",Psoriasis
136,100,nn,Describe your experience of being diagnosed or told your disease had progressed.,"experiences my health problem, to come to doctors and dicouse my disease.",Psoriasis
150,108,nn,Describe your experience of being diagnosed or told your disease had progressed.,I was in shock when I first found out and found out how serious psoriasis can be. The doctor gave me a prescription but I didn't fill it right away because I was scared of side effects that I had heard about.,Psoriasis
151,109,nn,Describe your experience of being diagnosed or told your disease had progressed.,i was young so it was scary and i was not ready for it. i didn't know what to expect and i feel like it wasn't explained well because i was a child,Psoriasis
152,109,nn,Describe your experience of being diagnosed or told your disease had progressed.,i was young so it was scary and i was not ready for it. i didn't know what to expect and i feel like it wasn't explained well because i was a child,Psoriasis
153,109,nn,Describe your experience of being diagnosed or told your disease had progressed.,i was young so it was scary and i was not ready for it. i didn't know what to expect and i feel like it wasn't explained well because i was a child,Psoriasis
311,215,nn,Describe your experience of being diagnosed or told your disease had progressed.,I was embarrassed about it at first. Why me ? Then I got to thinking about ways to overcome it,Psoriasis
322,223,nn,Describe your experience of being diagnosed or told your disease had progressed.,I did not understand what the diagnosis meant and was not willing to accept it was forever. I knew nothing about what medicines existed or what side effects to expect,Psoriasis
323,223,nn,Describe your experience of being diagnosed or told your disease had progressed.,I did not understand what the diagnosis meant and was not willing to accept it was forever. I knew nothing about what medicines existed or what side effects to expect,Psoriasis
492,330,nn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",It's nice to know there is a way to get rid of it and my hair would grow back.,Psoriasis
493,330,nn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",It's nice to know there is a way to get rid of it and my hair would grow back.,Psoriasis
552,378,nn_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Trying to figure out how to cover it up without outside people noticing,Psoriasis
597,409,nn_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ","I think that when something is chronic, the medication does little to improve your quality of life.",Psoriasis
598,409,nn_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ","I think that when something is chronic, the medication does little to improve your quality of life.",Psoriasis
624,429,nn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Something that is the most important is to me is having a support system and resources so that I don't totally freak out when I have major flare-ups especially.,Psoriasis
625,430,nn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",that there was a medication for my disease because it's not something that would go away on its own,Psoriasis
781,544,nn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Having a plan to cope with medications coming a close 2nd,Psoriasis
782,544,nn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Having a plan to cope with medications coming a close 2nd,Psoriasis
931,651,nn,"Of these factors, which was most important to feeling prepared, and why?Â ",Making sure I could afford the medication,Psoriasis
991,692,nn,"Of these factors, which was most important to feeling prepared, and why?Â ",Understanding how the rx works and possible side effects,Psoriasis
997,699,nn_pr,"Of these factors, which was most important to feeling prepared, and why?Â ",Trusting the medicine they are prescribing me to take,Psoriasis
1037,730,nn_pr,"Of these factors, which was most important to feeling prepared, and why?Â ",I prefer a med from an established pharmaceutical company. I might not use one from a lesser known vendor.,Psoriasis
1058,750,nn,"Of these factors, which was most important to feeling prepared, and why?Â ",Knowing what was in the medication and how it was going to help.,Psoriasis
1193,857,nn,"Of these factors, which was most important to feeling prepared, and why?Â ","Having someone to talk to, to help me prepare for the future.",Psoriasis
1203,865,nn,"Of these factors, which was most important to feeling prepared, and why?Â ","How well I understand my medication. I need to know how, why, when, where.",Psoriasis
1348,972,nn,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I wish I could take a day or two think things over.,Psoriasis
1349,972,nn,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I wish I could take a day or two think things over.,Psoriasis
1350,972,nn,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I wish I could take a day or two think things over.,Psoriasis
1415,1013,nn,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",Same day if I'm given all the information I needd,Psoriasis
1424,1020,nn_pr,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",A lot longer so I could of read about it first,Psoriasis
1483,1051,nn_pr,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I would like at least a month to consider taking the medication. I stopped taking Metformin and would never have taken it if I had been given more time to think about it.,Psoriasis
1502,1063,nn,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I take a moderate amount of time to make decisions considering my doctor's recommendation.,Psoriasis
1503,1063,nn,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I take a moderate amount of time to make decisions considering my doctor's recommendation.,Psoriasis
1504,1063,nn,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I take a moderate amount of time to make decisions considering my doctor's recommendation.,Psoriasis
1514,1071,nn,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I wish I had a week or two so that I could do some research about the different medications and how they affect your health re as in side effects,Psoriasis
1515,1071,nn,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",I wish I had a week or two so that I could do some research about the different medications and how they affect your health re as in side effects,Psoriasis
1516,1072,nn,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?","to me, it's not about time, it's about being properly educated about the medication and it's side effects",Psoriasis
1517,1072,nn,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?","to me, it's not about time, it's about being properly educated about the medication and it's side effects",Psoriasis
1697,1178,nn,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?","I want enough time to research possible side effects, research what it will cost me and for how long do I need to take it.",Psoriasis
1710,1186,nn,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",At least 72 hrs so I could research and read about it.,Psoriasis
1711,1186,nn,"Thinking of your experience, how much time do you wish you had to consider your doctor's recommended prescription before accepting or rejecting it?",At least 72 hrs so I could research and read about it.,Psoriasis
57,40,nn,Describe your experience of being diagnosed or told your disease had progressed.,Severe pain. They wanted a follow up. Pain went away so I didn't take meds.,IBD
58,40,nn,Describe your experience of being diagnosed or told your disease had progressed.,Severe pain. They wanted a follow up. Pain went away so I didn't take meds.,IBD
114,84,nn,Describe your experience of being diagnosed or told your disease had progressed.,I wasn't surprised by my diagnosis but did not feel I needed Medication,IBD
115,84,nn,Describe your experience of being diagnosed or told your disease had progressed.,I wasn't surprised by my diagnosis but did not feel I needed Medication,IBD
157,112,nn_pr,Describe your experience of being diagnosed or told your disease had progressed.,"Honestly, it was devastating. It seemed as if I was struggling all my life and now i have an answer finally but I'm also being told it's looking much worse and I'll have to be monitored closely so it doesn't get any worse",IBD
158,112,nn_pr,Describe your experience of being diagnosed or told your disease had progressed.,"Honestly, it was devastating. It seemed as if I was struggling all my life and now i have an answer finally but I'm also being told it's looking much worse and I'll have to be monitored closely so it doesn't get any worse",IBD
159,112,nn_pr,Describe your experience of being diagnosed or told your disease had progressed.,"Honestly, it was devastating. It seemed as if I was struggling all my life and now i have an answer finally but I'm also being told it's looking much worse and I'll have to be monitored closely so it doesn't get any worse",IBD
160,113,nn,Describe your experience of being diagnosed or told your disease had progressed.,I nearly died from internal bleeding. Had no idea what was wrong prior to that. I just followed what the doctors told me.,IBD
192,134,nn,Describe your experience of being diagnosed or told your disease had progressed.,It was very scary and the doctor didn't help much.,IBD
194,134,nn,Describe your experience of being diagnosed or told your disease had progressed.,It was very scary and the doctor didn't help much.,IBD
197,136,nn,Describe your experience of being diagnosed or told your disease had progressed.,Lots of information all at once and added medication plus having to get an infusion every 6 weeks.,IBD
198,136,nn,Describe your experience of being diagnosed or told your disease had progressed.,Lots of information all at once and added medication plus having to get an infusion every 6 weeks.,IBD
199,137,nn_pr,Describe your experience of being diagnosed or told your disease had progressed.,"I didn't understand that UC could get worse. My first doctor told me where is was located and it was a very mild case. Several years passed before I had another flare. The new doctor told me it was now in a different part of my colon. I was shocked. He said we would stay the course of my current meds, or may look into new meds. I was sad and told him I wasn't ready to take on level 2 medications due to the side effects.",IBD
