,verbatim_id,stakeholder,questions,responses,disease
109,79,ny,Describe your experience of being diagnosed or told your disease had progressed.,knowing i had the diease scared me and i was convinced i only had 6 yrs at most left too live andd even though i decided on a treatment plan i am still not sure i chose the correct treattment,Prostate Cancer
184,128,ny_pr,Describe your experience of being diagnosed or told your disease had progressed.,I was shocked that they had this disease but there was really nothing that I could really do about it so I just thugged it out,Prostate Cancer
273,191,ny,Describe your experience of being diagnosed or told your disease had progressed.,Because I don't know if the treatment is going to get rid of it all the way,Prostate Cancer
342,237,ny,Describe your experience of being diagnosed or told your disease had progressed.,"It was shocking and was told I needed to take a total of 6 shots over a six month period. I had a very difficult time getting the shots, could not afford the shots and non- communicaton between primary care doctor and uncologist.",Prostate Cancer
353,243,ny,Describe your experience of being diagnosed or told your disease had progressed.,It was a shock and I felt giving up.,Prostate Cancer
356,245,ny,Describe your experience of being diagnosed or told your disease had progressed.,Very difficult understanding the disease process and treatment options,Prostate Cancer
357,246,ny,Describe your experience of being diagnosed or told your disease had progressed.,I was scared but i came to terms with it and felt supported,Prostate Cancer
382,265,ny,Describe your experience of being diagnosed or told your disease had progressed.,When I was told I went numb for a a brief moment and I could see the doctors mouth moving but I couldn't comprehend what he was saying after he told me my diagnosis. I could only think of how many times I heard of people dying from it.,Prostate Cancer
398,272,ny,Describe your experience of being diagnosed or told your disease had progressed.,Having cancer made me frantic.,Prostate Cancer
408,276,ny,Describe your experience of being diagnosed or told your disease had progressed.,It was very depressing and it challenged me for so many things in my feelings and I wanted to go home so I had to fight and in order to do this had to embody the embankment of things were were to be done,Prostate Cancer
413,279,ny,Describe your experience of being diagnosed or told your disease had progressed.,Sad and terrified. But I hoped for the best and stayed positive,Prostate Cancer
416,282,ny,Describe your experience of being diagnosed or told your disease had progressed.,I was terrified of the news that was provided to me by the Dr,Prostate Cancer
442,298,ny,Describe your experience of being diagnosed or told your disease had progressed.,It initially scared me as I am young and didn't expect it but I was motivated to received the necessary things to get better,Prostate Cancer
451,305,ny,Describe your experience of being diagnosed or told your disease had progressed.,"You here about people you know get cancer, but nothing prepares you for it, when you are told the news. Just a blank look on my face when I was told. Your first reaction is, I am going to die. The doctor was brilliant. He sat me down and said that it is treatable and you will get through this. I believed her.",Prostate Cancer
479,320,ny,Describe your experience of being diagnosed or told your disease had progressed.,I was in denial and it was depressing,Prostate Cancer
584,400,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",choosing a dr and cancer treatment facility i felt extremely confortable ane secure with,Prostate Cancer
653,449,ny_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Thereâ€™s a mediation for my disease that I know,Prostate Cancer
742,512,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",They all are equally important to me,Prostate Cancer
800,558,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",being able to get support and more knowledge of cancer and any new developments in treatments,Prostate Cancer
808,564,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",My son and being there for me.,Prostate Cancer
812,566,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",The outcome of treatment and my future longevity,Prostate Cancer
813,567,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",It was prescribed by my doctor and it helped with my diagnosis,Prostate Cancer
834,586,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",That I had a plan to cope with the stress I would go through with my disease. This is because I didn't want to feel overwhelmed.,Prostate Cancer
840,593,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",That I have resources available.,Prostate Cancer
845,597,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",One of the most accepting terms is realizing that if you fight this you can't live again and that it is very important to keep a positive attitude and never give up,Prostate Cancer
850,600,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Supportive family and having the ability to wave in the face of danger,Prostate Cancer
857,603,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Finanal and family are the reasons why I indicated,Prostate Cancer
882,616,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Having resources available so you know where to turn for help,Prostate Cancer
886,619,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",That resources were available to me in order to go and receive them to better the treatment process,Prostate Cancer
894,626,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",To know that there was a drug that could treat this disease was so uplifting and that my symptoms were very treatable with this drug just blew me away. Almost a huge sense of relief when I heard this from my doctor.,Prostate Cancer
917,641,ny,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",the most was the medication because i need medication for relief and comfort,Prostate Cancer
1024,721,ny,"Of these factors, which was most important to feeling prepared, and why?Â ",just knowing what the dr explained and his comments when we checked in weekly on anything i or he felt needed to be askeed or addressed,Prostate Cancer
1082,770,ny_pr,"Of these factors, which was most important to feeling prepared, and why?Â ",Brand of medication for me because it really let me feel a little bit better and not as concerned because the medication I knew would work,Prostate Cancer
1165,833,ny,"Of these factors, which was most important to feeling prepared, and why?Â ",The most is understanding and medication,Prostate Cancer
1222,879,ny,"Of these factors, which was most important to feeling prepared, and why?Â ",must know the side effects and how to cope with such,Prostate Cancer
1232,885,ny,"Of these factors, which was most important to feeling prepared, and why?Â ",Brand and reliability of the medicine.,Prostate Cancer
1235,887,ny,"Of these factors, which was most important to feeling prepared, and why?Â ",The effectiveness of the medication with the least amount of side effects,Prostate Cancer
