,verbatim_id,stakeholder,questions,responses,disease
88,63,yn_pr,Describe your experience of being diagnosed or told your disease had progressed.,I felt sad and depressed with the whole situation. I just didn't know what to do.,Prostate Cancer
98,71,yn,Describe your experience of being diagnosed or told your disease had progressed.,"Once my PSA level was detected to be abnormally high, and after a positive biopsy, and a subsequent prostatectomy, the PSA began steadily rising, again. I went through some 80 radiation treatments, which lowered the PSA levels a bit, but not for long. Scans could not - and have not - been able to detect anything. My urologist wanted to put me on testosterone blockers, but after consulting with my oncologist, I decided that I did not want to take that kind of drug.",Prostate Cancer
111,82,yn,Describe your experience of being diagnosed or told your disease had progressed.,"The doctors wanted to use surgery, But I thought my chances were equal with radiation treatment",Prostate Cancer
123,91,yn,Describe your experience of being diagnosed or told your disease had progressed.,"I was told of my disease, and he gave me a brief explanation of what needs to be done. He told me every thing I needed to know was in the stack of papers he gave me. I was a little overwhelmed. Was told that I need to drink plenty of water, and fast.",Prostate Cancer
124,91,yn,Describe your experience of being diagnosed or told your disease had progressed.,"I was told of my disease, and he gave me a brief explanation of what needs to be done. He told me every thing I needed to know was in the stack of papers he gave me. I was a little overwhelmed. Was told that I need to drink plenty of water, and fast.",Prostate Cancer
186,130,yn_pr,Describe your experience of being diagnosed or told your disease had progressed.,I felt disparity and pain if the treatment,Prostate Cancer
189,130,yn_pr,Describe your experience of being diagnosed or told your disease had progressed.,I felt disparity and pain if the treatment,Prostate Cancer
203,140,yn,Describe your experience of being diagnosed or told your disease had progressed.,A diagnosis was made and something was needed for treatment so I went to a doctor who recommended services that are good for the product that shows what it is offering for prostate.,Prostate Cancer
256,179,yn,Describe your experience of being diagnosed or told your disease had progressed.,I was very scared but ready to beat cancer,Prostate Cancer
257,179,yn,Describe your experience of being diagnosed or told your disease had progressed.,I was very scared but ready to beat cancer,Prostate Cancer
265,184,yn,Describe your experience of being diagnosed or told your disease had progressed.,understand itâ€™s for the better and ultimately for my long term health and well being.,Prostate Cancer
276,193,yn_pr,Describe your experience of being diagnosed or told your disease had progressed.,It was a very humbling experience. I was very sad and had a lot to reevaluate.,Prostate Cancer
277,193,yn_pr,Describe your experience of being diagnosed or told your disease had progressed.,It was a very humbling experience. I was very sad and had a lot to reevaluate.,Prostate Cancer
355,244,yn,Describe your experience of being diagnosed or told your disease had progressed.,The doctor suggested surgery but I wanted to get a second opinion and seek treatment the avoided surgery.,Prostate Cancer
375,259,yn,Describe your experience of being diagnosed or told your disease had progressed.,Had a feeling because it runs in my family. Just taking it day by day now,Prostate Cancer
429,290,yn,Describe your experience of being diagnosed or told your disease had progressed.,It sucked and I was lost there was no one,Prostate Cancer
561,384,yn_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",My family and knowing that I had to be strong for them.,Prostate Cancer
562,384,yn_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",My family and knowing that I had to be strong for them.,Prostate Cancer
571,392,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Having good doctor(s) and available resources to continue looking for the reason for the continuing rise in the PSA levels.,Prostate Cancer
572,392,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Having good doctor(s) and available resources to continue looking for the reason for the continuing rise in the PSA levels.,Prostate Cancer
589,403,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ","An effective treatment existed for the disease. Death comes to us all, the question is when and how.",Prostate Cancer
602,412,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",That it was treatable and that it wasn't inevitable that I could die o,Prostate Cancer
655,451,yn_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",The pain and the people who are doing the treatment give me a break I don't like it,Prostate Cancer
656,451,yn_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",The pain and the people who are doing the treatment give me a break I don't like it,Prostate Cancer
669,461,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",That I have resources so as to access services that are good for the product that shows what it is offering for prostate.,Prostate Cancer
670,461,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",That I have resources so as to access services that are good for the product that shows what it is offering for prostate.,Prostate Cancer
671,461,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",That I have resources so as to access services that are good for the product that shows what it is offering for prostate.,Prostate Cancer
727,500,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Treatment so I can have the best possible chance to beat cancer,Prostate Cancer
733,505,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",wanting to live a long healthy and happy life!,Prostate Cancer
734,505,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",wanting to live a long healthy and happy life!,Prostate Cancer
735,505,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",wanting to live a long healthy and happy life!,Prostate Cancer
744,514,yn_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Having to learn that you would have to carry this disease for the rest of your life,Prostate Cancer
810,565,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",That I have the resources available to treat mey diosease. This removes a lot of the angziety and fear from the process and allowed me to concentrate on getting well.,Prostate Cancer
811,565,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",That I have the resources available to treat mey diosease. This removes a lot of the angziety and fear from the process and allowed me to concentrate on getting well.,Prostate Cancer
828,580,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Knowing there's treatment for it,Prostate Cancer
872,611,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Time coming to terms with what is happening and what is going o happen,Prostate Cancer
873,611,yn,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Time coming to terms with what is happening and what is going o happen,Prostate Cancer
1004,705,yn_pr,"Of these factors, which was most important to feeling prepared, and why?Â ",Talking to my doctor and my family is very important.,Prostate Cancer
1013,713,yn,"Of these factors, which was most important to feeling prepared, and why?Â ",The basic information on the medication and its side effects.,Prostate Cancer
1028,724,yn,"Of these factors, which was most important to feeling prepared, and why?Â ",Knowing how the medication works,Prostate Cancer
1039,733,yn,"Of these factors, which was most important to feeling prepared, and why?Â ",Knowing the medication Im taking and how it will effect me.,Prostate Cancer
1085,772,yn_pr,"Of these factors, which was most important to feeling prepared, and why?Â ",Family because they stood by me throughout the prosecutiob,Prostate Cancer
1097,782,yn,"Of these factors, which was most important to feeling prepared, and why?Â ",How well I understand so that information is consistent with treatment.,Prostate Cancer
1147,821,yn,"Of these factors, which was most important to feeling prepared, and why?Â ",Best medication so I can tackle cancer head on,Prostate Cancer
1155,826,yn,"Of these factors, which was most important to feeling prepared, and why?Â ",understanding the changes I need to adapt to in my current lifestyle to better my future one.,Prostate Cancer
