,verbatim_id,stakeholder,questions,responses,disease
0,0,yy,Describe your experience of being diagnosed or told your disease had progressed.,I started to do research on the condition so that I could at least ask intelligent questions.,Psoriasis
2,1,yy,Describe your experience of being diagnosed or told your disease had progressed.,There weren't a lot of options if I wanted to survive,Psoriasis
5,3,yy,Describe your experience of being diagnosed or told your disease had progressed.,My doctor was very through when explaing why I had the issue I did,Psoriasis
7,5,yy,Describe your experience of being diagnosed or told your disease had progressed.,I had been struggling with it for some time and I felt hopeful that it couldnâ€™t be treated over time,Psoriasis
8,6,yy,Describe your experience of being diagnosed or told your disease had progressed.,Felt like best choice after looking at other way to deal,Psoriasis
14,11,yy,Describe your experience of being diagnosed or told your disease had progressed.,It was difficult. Made me alter my life and habits. Bad start,Psoriasis
25,19,yy,Describe your experience of being diagnosed or told your disease had progressed.,I went into the doctor expecting I had the disease. Once he told me it was not much of a surprise. I just wanted to know the next steps in solving the issue,Psoriasis
31,22,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,"doctor did not tell me anything i didn't already know. But, it still felt bad knowing that I would having yet another type treatment.",Psoriasis
33,24,yy,Describe your experience of being diagnosed or told your disease had progressed.,I went to the Dr. They told me I need to use cream,Psoriasis
34,25,yy,Describe your experience of being diagnosed or told your disease had progressed.,"After being diagnosed, i began using topical treatments.",Psoriasis
43,32,yy,Describe your experience of being diagnosed or told your disease had progressed.,that was a long time ago just remember that he told me i had it and he woulfd give me a medication to help relieve it,Psoriasis
55,38,yy,Describe your experience of being diagnosed or told your disease had progressed.,Others were afflicted that I knew so I knew some things about it,Psoriasis
62,43,yy,Describe your experience of being diagnosed or told your disease had progressed.,"I knew when it first started that it was psoriasis, so I wasn't surprised by the diagnosis. I was ready to try the various prescriptions that would offer me relief from the symptoms of psoriasis.",Psoriasis
65,44,yy,Describe your experience of being diagnosed or told your disease had progressed.,i was ready for treatment and tired of living with it non medicated,Psoriasis
70,47,yy,Describe your experience of being diagnosed or told your disease had progressed.,"just did what dr said, take prescription, keep appointments",Psoriasis
71,48,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,anxiety set in immediately at this point,Psoriasis
89,64,yy,Describe your experience of being diagnosed or told your disease had progressed.,It was hurtful to hear about the diagnosis. Preparing for treatment was rough but it had to be done.,Psoriasis
94,68,yy,Describe your experience of being diagnosed or told your disease had progressed.,It was pretty straight forward,Psoriasis
95,69,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,Being in pain and having to do with it day by day,Psoriasis
102,74,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,it is scary but at the same time hopeful that i will get better after the treatment,Psoriasis
122,90,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,I was buying everything over the counter and nothing was helping,Psoriasis
125,92,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,i was not prepared and was scared of the treatment,Psoriasis
126,93,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,"I was sad, but the bb treatment was good un the beging. In this moment I AM very well",Psoriasis
298,207,yy,Describe your experience of being diagnosed or told your disease had progressed.,once i knew that i had it i also knew that there was little to no other option but to go with the doctors prescription because i didnt really know enough about the disease,Psoriasis
303,211,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,My doctor told me it had worsened and I felt almost devastated.,Psoriasis
304,212,yy,Describe your experience of being diagnosed or told your disease had progressed.,I felt already that I was diseased and people treated me as such. So I wanted anything that would help,Psoriasis
308,214,yy,Describe your experience of being diagnosed or told your disease had progressed.,Pretty scary but expected it. I can deal with it,Psoriasis
316,218,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,It was disappointing being told my disease has worsened when I thought I was going to get better and not have to deal with it,Psoriasis
324,224,yy,Describe your experience of being diagnosed or told your disease had progressed.,Psoriasis isn't life threatening or scary. It's just itchy skin so it wasn't hard to come to terms with. It was helpful to understand it was diagnosable and treatable.,Psoriasis
329,227,yy,Describe your experience of being diagnosed or told your disease had progressed.,I was dealing with this for months and didnâ€™t know what was wrong so when I was finally diagnosed I felt immense relief. Treatment Iâ€™ve realized would be the only way Iâ€™ll be able to relieve the symptoms.,Psoriasis
331,229,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,it became stable after taking the treatment as it was necessary for me to take this,Psoriasis
333,230,yy,Describe your experience of being diagnosed or told your disease had progressed.,Is very uncomfortable in most situations where i have to do thimgs that maybe normal to some also ths pain is unbearable sometimes that my medicine feels is not working and at times is very frustrating and consuming,Psoriasis
334,231,yy_pr,Describe your experience of being diagnosed or told your disease had progressed.,My disease was spreading across other part of body which very uncomfortable to me and my doctor was given some prescibed medication,Psoriasis
402,274,yy,Describe your experience of being diagnosed or told your disease had progressed.,its not a crazy diagnosis so theres no need for drama,Psoriasis
480,321,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Knowing there were medications available to be treated.,Psoriasis
482,324,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",knowing that there was medication that could help the condition,Psoriasis
484,326,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",There was treatment /a plan forward to finding relief,Psoriasis
485,327,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",How to treat or make me feel good while having my condition,Psoriasis
495,332,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Being able to afford medicaiton,Psoriasis
506,340,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ","The most important thing to coming to terms was just to understand the disease and learn how to treat it. Once I knew how to treat it, dealing with it became a little easier",Psoriasis
513,346,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Coming tp terms with my unsightly skin,Psoriasis
520,353,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",i have already taking some medications,Psoriasis
533,364,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Knowing there were medications available to control my psoriasis.,Psoriasis
534,365,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ","getting treatment, i was tired of living with it non medicated.",Psoriasis
537,368,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",drugs to help me cope and stay stable,Psoriasis
538,369,yy_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",none that i can think of and that should be 30 characters,Psoriasis
542,372,yy_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",My disease is not getting better day by day,Psoriasis
568,389,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Nothing to it it just kind of happened and I am excepting it,Psoriasis
569,390,yy_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Yes having to deal with the pain day by day and taking medication for it,Psoriasis
574,395,yy_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",to feel pain on a daily basis is very hardship but i have to get use to it,Psoriasis
600,411,yy_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ","Stress , stress can cause the plaque to just pop up everywhere on my body",Psoriasis
603,413,yy_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",learning about how the disease progressed,Psoriasis
623,428,yy_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Knowing there are other options I could try and that would be more effective for me,Psoriasis
762,528,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",reliable health clinics and health experts because my area has a shortage on them,Psoriasis
767,532,yy_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",Having resources available is the most important to me,Psoriasis
770,535,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",The pain and discomfort. I'm already dealing with it,Psoriasis
774,539,yy_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",All of them are equally important,Psoriasis
783,545,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",The most important thing to me is the Ability to access medication,Psoriasis
787,548,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",That I had a plan to cope with the stress of my disease simply because I didnâ€™t want to be stressed out about not getting better.,Psoriasis
790,550,yy_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",the inevitability of it. nothing else i can do about this.,Psoriasis
791,551,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",The long term plan for me amd my family talking and discussing the possibilities of the future and how it could effect or potentially get better by changing certain routine and exercise in most cases,Psoriasis
793,552,yy_pr,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",The exist medication for my treatment. Because this medication could help me to minimize the threat and slightly reduce the disease,Psoriasis
802,559,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",It's most important that I have medication to be able to deal with it.,Psoriasis
842,595,yy,"Of these factors, which was most important to coming to terms with your diagnosis / disease progression and why?Â ",having resporces with answers and links to source website data,Psoriasis
918,642,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",Knowing how the medication worked.,Psoriasis
921,645,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",knowing all side effects so that I knew what to expect,Psoriasis
924,647,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",Understanding how to use it to get the best and fastest results,Psoriasis
926,648,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",Good brand medicine not to many side effects,Psoriasis
934,653,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",The brand so I know what I was getting,Psoriasis
944,661,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",Knowing that your insurance will help with the cost of the medication.,Psoriasis
948,664,yy_pr,"Of these factors, which was most important to feeling prepared, and why?Â ",medication itself and possible side effects,Psoriasis
950,666,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",It was better to no what it was,Psoriasis
958,674,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",insrance would cover medication clears my mind on how to pay for it,Psoriasis
966,680,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",distance from doctor to help stress level,Psoriasis
977,685,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",Understanding how well the medication works and what results I could experience.,Psoriasis
978,686,yy,"Of these factors, which was most important to feeling prepared, and why?Â ","how effective the medicine is , the ingredients and brand that i trust",Psoriasis
984,689,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",if insurance will cover drugs and everything else,Psoriasis
985,690,yy_pr,"Of these factors, which was most important to feeling prepared, and why?Â ",branad of medication was just what was needed,Psoriasis
992,693,yy_pr,"Of these factors, which was most important to feeling prepared, and why?Â ","I want to get well soon. If the illness is not good, I worry",Psoriasis
1005,706,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",The price is the truth and I felt prepared,Psoriasis
1009,710,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",Knowing that it can always be worse,Psoriasis
1011,711,yy_pr,"Of these factors, which was most important to feeling prepared, and why?Â ",Feeling prepared just made me be able to understand the taking the medication will help and hope the surgery will too,Psoriasis
1018,716,yy_pr,"Of these factors, which was most important to feeling prepared, and why?Â ","hope, the hope that after treatment i will feel well",Psoriasis
1040,734,yy_pr,"Of these factors, which was most important to feeling prepared, and why?Â ",being in control and how to handle it,Psoriasis
1043,735,yy_pr,"Of these factors, which was most important to feeling prepared, and why?Â ",The help to the My family because was very importan I was very susceptible,Psoriasis
1057,749,yy_pr,"Of these factors, which was most important to feeling prepared, and why?Â ","If I have a strong understanding of my medication, I'll feel more prepared",Psoriasis
1184,849,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",whether or not my insurance will cover the cost of everything because inflation made me cut back on a lot of things,Psoriasis
1189,853,yy_pr,"Of these factors, which was most important to feeling prepared, and why?Â ",Finding someone to talk to was the most important so I didn't feel alone,Psoriasis
1190,854,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",My insurance to cover it because my medication is over $3000 a month,Psoriasis
1192,856,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",I have family around who is very supportive and comfortable,Psoriasis
1197,860,yy_pr,"Of these factors, which was most important to feeling prepared, and why?Â ",All of them are important to me they all equally play an important role in the situation,Psoriasis
1204,866,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",It's most important that I have access to the medication through insurance so that I can afford it.,Psoriasis
1206,869,yy,"Of these factors, which was most important to feeling prepared, and why?Â ",How my medication worked I wanted to know what it did and how soon any side effects would kick in.,Psoriasis
1208,871,yy_pr,"Of these factors, which was most important to feeling prepared, and why?Â ",probably if my insurance will cover all the expenses or what i will have to pay out of pocket.,Psoriasis
